record_id	phytoplasma	host_group	host_family	host_species	country	reference_id	full_reference
1677	16SrXII A	plant	Vitaceae	Vitis vinifera	Italy: Veneto	Bianco et al 1996	Bianco, P.A., Davis, R.E., Casati, P., Fortusini, A. 1996. Prevalence of aster yellows (AY) and elm yellows (EY) group phytoplasmas in symptomatic grapevines in three areas of northern Italy. Vitis, 35(4): 195-199
1678	16SrI	plant	Caricaceae	Carica papaya	Sri Lanka	Abeysinghe et al 2014	Abeysinghe, S., Kumari, W.G.S.M., Arachchi, I.M.M., Dickinson, M. 2014. First report of the molecular identification of a phytoplasma associated with dieback disease of papaya in Sri Lanka. New Disease Reports, 29: 13
1679	16SrI	plant	Caricaceae	Carica papaya	Cuba	Acosta et al 2011	Acosta, K., Zamora, L., Fernandez, A., Martinez, Y., Santos, M.E., Mendez, J., Chávez, A., Leyva, N.E. 2011. First report of 'Candidatus Phytoplasma asteris' (group 16SrI) affecting papaya in Cuba. New Disease Reports, 24: 29
1680	16SrXII	plant	Caricaceae	Carica papaya	Taiwan	Bau et al 2011	Bau, H.J., Hung, S.C., Chang, W.C., Chen, Y.K. 2011. First report of Group 16SrXII phytoplasma associated with papaya yellows in Taiwan. Plant Disease, 95: 1581
1681	16SrXII B	plant	Fabaceae	Medicago sativa	Australia	Getachu et al 2007	Getachu, M.A., Mitchell, A., Gurr, G.M., Fletcher, M.J., Pikington, R.J., Nikandrow, A. 2007. First report of a 'Candidatus Phytoplasma australiense'-related strain in lucerne (Medicago sativa). Australian Plant disease, 91: 111
1682	16SrXII B	plant	Amaranthaceae	Maireana brevifoilia	Australia	Magarey et al 2006	Magarey, P.A., Gillett, S.R., Dixon, J.R., Magarey, C.C., Thiele, S.A., Cass, J., Fletcher, M.J., Habili, N., Maixner, M.W., Gurr, G.M., Pilkington, L. 2006. Australian Grapevine Yellows – Source, Spread and Control. https://www.google.ch/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjhlLDx7IHWAhUFAxoKHcWsCw8QFgg0MAI&url=http%3A%2F%2Fresearch.wineaustralia.com%2Fwp-content%2Fuploads%2F2012%2F09%2FSAR-02-03-Final-Report-web.pdf&usg=AFQjCNGCsn5sQ5gV
1683	16SrXII B	plant	Paulowniaceae	Paulownia fortunei	Australia	Bayliss et al 2005	Bayliss, K.L., Saqib, M., Dell, B., Jones, M.G.K., Hardy, G.E.S.T.Y. 2005. First record of 'Candidatus Phytoplasma australiense' in Paulownia trees. Australasian Plant Pathology, 34: 123-124
1684	16SrXII B	plant	Hamamelidaceae	Liquidambar styraciflua	Australia	Habili et al 2007	Habili, N., Farrokhi, N., Randless, J.V. 2007. First detection of 'Candidatus Phytoplasma australiense' in Liquidambar styraciflua in australia. Plant Pathoilogy, 56: 346
1685	16SrXII B	plant	Euphorbiaceae	Euphorbia terracina	Australia	Magarey et al 2006	Magarey, P.A., Gillett, S.R., Dixon, J.R., Magarey, C.C., Thiele, S.A., Cass, J., Fletcher, M.J., Habili, N., Maixner, M.W., Gurr, G.M., Pilkington, L. 2006. Australian Grapevine Yellows – Source, Spread and Control. https://www.google.ch/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjhlLDx7IHWAhUFAxoKHcWsCw8QFgg0MAI&url=http%3A%2F%2Fresearch.wineaustralia.com%2Fwp-content%2Fuploads%2F2012%2F09%2FSAR-02-03-Final-Report-web.pdf&usg=AFQjCNGCsn5sQ5gV
1686	16SrXII B	plant	Amaranthaceae	Enchylaena tomentosa	Australia	Magarey et al 2006	Magarey, P.A., Gillett, S.R., Dixon, J.R., Magarey, C.C., Thiele, S.A., Cass, J., Fletcher, M.J., Habili, N., Maixner, M.W., Gurr, G.M., Pilkington, L. 2006. Australian Grapevine Yellows – Source, Spread and Control. https://www.google.ch/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjhlLDx7IHWAhUFAxoKHcWsCw8QFgg0MAI&url=http%3A%2F%2Fresearch.wineaustralia.com%2Fwp-content%2Fuploads%2F2012%2F09%2FSAR-02-03-Final-Report-web.pdf&usg=AFQjCNGCsn5sQ5gV
1687	16SrXII B	plant	Amaranthaceae	Einardia nutans	Australia	Magarey et al 2006	Magarey, P.A., Gillett, S.R., Dixon, J.R., Magarey, C.C., Thiele, S.A., Cass, J., Fletcher, M.J., Habili, N., Maixner, M.W., Gurr, G.M., Pilkington, L. 2006. Australian Grapevine Yellows – Source, Spread and Control. https://www.google.ch/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0ahUKEwjhlLDx7IHWAhUFAxoKHcWsCw8QFgg0MAI&url=http%3A%2F%2Fresearch.wineaustralia.com%2Fwp-content%2Fuploads%2F2012%2F09%2FSAR-02-03-Final-Report-web.pdf&usg=AFQjCNGCsn5sQ5gV
1688	16SrXII B	plant	Caricaceae	Carica papaya	Israel	Gera et al 2005	Gera, A., Mawassi, M., Zeidan, A., Spiegel, S., Bar-Joseph, M. 2005. An isolate of 'Candidatus Phytoplasma australiense' group associated with Nivun Haamir dieback disease of papaya in Israel. Plant Pathology, 54: 560
1689	16SrII D	plant	Caricaceae	Carica papaya	Australia	Seemuller et al 1998	Seemuller, E., Marcone, C., Lauer, U., Ragozzino, A., Goschl, M. 1998. Current status of molecular classification of the phytoplasmas. Journal of Plant Pathology, 80(1): 3-26
1690	16SrXII B	plant	Caricaceae	Carica papaya	Australia	Seemuller et al 1998	Seemuller, E., Marcone, C., Lauer, U., Ragozzino, A., Goschl, M. 1998. Current status of molecular classification of the phytoplasmas. Journal of Plant Pathology, 80(1): 3-26
1691	16SrII D	plant	Caricaceae	Carica papaya	India	Rao et al 2011	Rao, G.P., Chaturvedi, Y., Priya, M., Mall, S. 2011. Association of a 16SrII group phytoplasma with dieback disease of papaya in India. Bulletin of Insectology, 64(Supplement): S105-106
1692	16SrI A	plant	Vitaceae	Vitis vinifera	USA: Virginia	Davis et al 1998	Davis, R.E., Jomantiene, R., Dally, E.L., Wolf, T.K. 1998. Phytoplasmas associated with grapevine yellows in Virginia belong to group 16SrI, subgroup A (tomato big bud phytoplasma subgroup), and group 16SrIII, new subgroup I. Vitis, 37(3): 131-137
1693	16SrIII I	plant	Vitaceae	Vitis vinifera	USA: Virginia	Davis et al 1998	Davis, R.E., Jomantiene, R., Dally, E.L., Wolf, T.K. 1998. Phytoplasmas associated with grapevine yellows in Virginia belong to group 16SrI, subgroup A (tomato big bud phytoplasma subgroup), and group 16SrIII, new subgroup I. Vitis, 37(3): 131-137
1694	16SrXII B	plant	Rosaceae	Fragaria x ananassa	Australia	Padovan et al 2000	Padovan, A., Gibb, K., Persley, D. 2000. Association of `Candidatus Phytoplasma australiense' with green petal and lethal yellows diseases in strawberry. Plant Pathology, 49: 362-369
1695	16SrXII B	plant	Fabaceae	Vigna unguiculata	Australia	Saqib et al 2006	Saqib, M., Bayliss, K.L., Jones, M.G.K. 2006. Identification of sweet potato little leaf phytoplasma associated with Vigna unguiculata var. sesquipedalis and Lycopersicon esculentum. Australasian Plant Pathology, 35: 293–296
1696	16SrXII B	plant	Solanaceae	Lycopersicon esculentum	Australia	Saqib et al 2006	Saqib, M., Bayliss, K.L., Jones, M.G.K. 2006. Identification of sweet potato little leaf phytoplasma associated with Vigna unguiculata var. sesquipedalis and Lycopersicon esculentum. Australasian Plant Pathology, 35: 293–296
1697	16SrII D	plant	Amaranthaceae	Ptilotus distans	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1698	16SrXII B	plant	Asteraceae	Cyanthillium cinereum	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1699	16SrII D	plant	Asteraceae	Emilia sonchifolia	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1700	16SrII D	plant	Cleomaceae	Cleome viscosa	Australia	Davis et al 2003	Davis, R.I., Jacobson, S.C., De La Rue, S.J., Tran-Nguyen, L., Gunua, T.G., Rahamma, S. 2003. Phytoplasma disease surveys in the extreme north of Queensland, Australia, and the island of New Guinea. Australasian Plant Pathology, 32: 269–277
1701	16SrXII B	plant	Cleomaceae	Cleome viscosa	Australia: Katherine	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1702	16SrXII B	plant	Fabaceae	Senna obtusifolia	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1703	16SrII	plant	Convolvulaceae	Bonamia pannosa	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1704	16SrII D	plant	Cucurbitaceae	Cucurbita maxima	Australia	Davis et al 1997	Davis, R.I., Schneider, B., Gibb, K.S. 1997. Detection and differentiation of phytoplasmas in Australia. Australian Journal of Agricultural Research, 48: 535–544
1705	16SrXII B	plant	Cucurbitaceae	Cucurbita maxima	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1706	16SrI C	plant	Euphorbiaceae	Euphorbia pulcherrima	Italy	Seemuller et al 1998	Seemuller, E., Marcone, C., Lauer, U., Ragozzino, A., Goschl, M. 1998. Current status of molecular classification of the phytoplasmas. Journal of Plant Pathology, 80(1): 3-26
1707	16SrI B	plant	Euphorbiaceae	Euphorbia pulcherrima	Italy	Seemuller et al 1998	Seemuller, E., Marcone, C., Lauer, U., Ragozzino, A., Goschl, M. 1998. Current status of molecular classification of the phytoplasmas. Journal of Plant Pathology, 80(1): 3-26
1708	16SrIII	plant	Euphorbiaceae	Euphorbia pulcherrima	USA	Seemuller et al 1998	Seemuller, E., Marcone, C., Lauer, U., Ragozzino, A., Goschl, M. 1998. Current status of molecular classification of the phytoplasmas. Journal of Plant Pathology, 80(1): 3-26
1709	16SrIII	plant	Euphorbiaceae	Euphorbia pulcherrima	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1710	16SrXII B	plant	Phyllanthaceae	Phyllanthus maderaspanatus	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1711	16SrXII B	plant	Fabaceae	Aeschynomene indica	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1712	16SrXII B	plant	Fabaceae	Aphyllodium sp.	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1713	16SrXII B	plant	Fabaceae	Arachis pintoii	Australia: Mareeba	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1714	16SrXII B	plant	Fabaceae	Cajanus marmoratus	Australia: Katherine	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1715	16SrXII B	plant	Fabaceae	Crotalaria brevis	Australia: Katherine	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1716	16SrXII B	plant	Fabaceae	Crotalaria crispata	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1717	not characterized	plant	Fabaceae	Crotalaria spectabilis	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1718	16SrXII B	plant	Fabaceae	Desmodium intortum	Australia: Mareeba	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1719	16SrII	plant	Fabaceae	Galactia tenuiflora	Australia: Katherine	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1720	16SrXII B	plant	Fabaceae	Indigofera colutea	Australia: Katherine	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1721	16SrII D	plant	Fabaceae	Macroptilium bracteatum	Australia: Mareeba	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1722	16SrXII B	plant	Fabaceae	Macroptilium gracile	Australia: Mareeba	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1723	16SrXII B	plant	Fabaceae	Phaseolus vulgaris	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1724	16SrXII B	plant	Fabaceae	Stylosanthes hamata	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1725	16SrII D	plant	Fabaceae	Stylosanthes scabra	Australia: Mareeba	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1726	16SrXII B	plant	Fabaceae	Stylosanthes scabra	Australia: Mareeba	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1727	not characterized	plant	Fabaceae	Vigna lanceolata	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1728	16SrII D	plant	Goodeniaceae	Goodenia sp.	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1729	16SrII D	plant	Passifloraceae	Passiflora foetida	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1730	16SrII D	plant	Poaceae	Cynodon dactylon	Australia	Tran-Nguyen et al 2000	Tran-Nguyen, L., Blanche, K.R., Egan, B., Gibb, K.S. 2000. Diversity of phytoplasmas in northern Australian sugarcane and other grasses. Plant Pathology, 49: 666–679
1731	16SrXIV	plant	Poaceae	Cynodon dactylon	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1732	16SrXI	plant	Poaceae	Sorghum stipoideum	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1733	16SrXI	plant	Poaceae	Whiteochloa capillipes	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1734	16SrII	plant	Rubiaceae	Spermacocci sp.	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1735	16SrXII B	plant	Solanaceae	Nicotiana tabacum	Australia: Mareeba	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1736	16SrII B	plant	Malvaceae	Waltheria indica	Australia	Schneider et al 1999	Schneider, B., Padovan, A., De La Rue, S., Eichner, R., Davis, R.E., Bernuetz, A., Gibb, K. 1999. Detection and differentiation of phytoplasmas in Australia: an update. Australian Journal of Agricultural Research, 50: 333-342
1737	16SrII B	plant	Brassicaceae	Matthiola incana	Italy: Sicily	Davino et al 2007	Davino, S., Calari, A., Davino, M., Bertaccini, A., Bellardi, M.G. 2007. Virescence of tenweeks stock associated to phytoplasma infection in Sicily. Bulletin of Insectology, 60: 279-280
1738	16SrV B	plant	Rhamnaceae	Ziziphus jujuba	China: Shaanxi	Fan et al 2008	Fan, X.P., Paltrinieri, S., Pastore, M., Petriccione, M., Wang, X., Tian, J.B., Bertaccini, A. 2008. Molecular detection of ‘Candidatus Phytoplasma ziziphae’ in different jujube varieties. Acta Horticulturae, 772: 207-210
1739	16SrV C	plant	Vitaceae	Vitis vinifera	Italy: Veneto	Martini et al 2002	Martini, M., Botti, S., Marcone, C., Marzachì, C., Casati, P., Bianco, P.A., Benedetti, R., Bertaccini, A. 2002. Genetic variability among Flavescence dorée phytoplasmas from different origins in Italy and France. Molecular and Cellular probes, 16: 197-208
1740	16SrV D	plant	Vitaceae	Vitis vinifera	France	Martini et al 2002	Martini, M., Botti, S., Marcone, C., Marzachì, C., Casati, P., Bianco, P.A., Benedetti, R., Bertaccini, A. 2002. Genetic variability among Flavescence dorée phytoplasmas from different origins in Italy and France. Molecular and Cellular probes, 16: 197-208
1741	16SrXII A	plant	Rosaceae	Prunus avium	Italy: Emilia-Romagna	Paltrinieri et al 2008	Paltrinieri, S., Lugaresi, C. Bertaccini, A. 2008. Phytoplasmas in declining cherry plants. Acta Horticulturae, 781: 409-416
1742	16SrIII B	plant	Rosaceae	Prunus avium	Italy: Emilia-Romagna	Paltrinieri et al 2008	Paltrinieri, S., Lugaresi, C. Bertaccini, A. 2008. Phytoplasmas in declining cherry plants. Acta Horticulturae, 781: 409-416
1743	16SrV B	plant	Rosaceae	Prunus avium	Italy: Emilia-Romagna	Paltrinieri et al 2008	Paltrinieri, S., Lugaresi, C. Bertaccini, A. 2008. Phytoplasmas in declining cherry plants. Acta Horticulturae, 781: 409-416
1744	16SrI	plant	Ranunculaceae	Ranunculus asiaticus	France	Devergne & Lovisolo 1969	Devergne, J.C., Lovisolo, O. 1969. Les viroses des plantes ornamentales dans le bassin méditerranéen. Annales de Phytopathologie, 1(H.S.): 285-301
1745	16SrI C	plant	Ranunculaceae	Ranunculus sp.	Italy: Campania	Seemuller et al 1998	Seemuller, E., Marcone, C., Lauer, U., Ragozzino, A., Goschl, M. 1998. Current status of molecular classification of the phytoplasmas. Journal of Plant Pathology, 80(1): 3-26
1746	16SrI B	plant	Ranunculaceae	Ranunculus asiaticus	Italy: Campania	Parrella et al 2008	Parrella, G., Paltrinieri, S., Botti, S., Bertaccini, A. 2008. Molecular identification of phytoplasmas from virescent ranunculus plants and from leafhoppers in southern Italian crops. Journal of Plant Pathology, 90(3): 537-543
1747	16SrVI A	plant	Apocynaceae	Catharanthus roseus	Turkey	Sertkaya et al 2007	Sertkaya, G., Martini, M., Musetti, R., Osler R. 2007. Detection  and  molecular  characterization  of phytoplasmas infecting sesame and solanaceous crops in Turkey. Bulletin of Insectology, 60(2): 141-142
1748	16SrVI A	plant	Pedaliaceae	Sesamum indicum	Turkey	Sertkaya et al 2007	Sertkaya, G., Martini, M., Musetti, R., Osler R. 2007. Detection  and  molecular  characterization  of phytoplasmas infecting sesame and solanaceous crops in Turkey. Bulletin of Insectology, 60(2): 141-142
1749	16SrVI A	plant	Solanaceae	Capsicum sp.	Turkey	Sertkaya et al 2007	Sertkaya, G., Martini, M., Musetti, R., Osler R. 2007. Detection  and  molecular  characterization  of phytoplasmas infecting sesame and solanaceous crops in Turkey. Bulletin of Insectology, 60(2): 141-142
1750	16SrVI A	plant	Solanaceae	Solanum melongena	Turkey	Sertkaya et al 2007	Sertkaya, G., Martini, M., Musetti, R., Osler R. 2007. Detection  and  molecular  characterization  of phytoplasmas infecting sesame and solanaceous crops in Turkey. Bulletin of Insectology, 60(2): 141-142
1751	16SrXII A	plant	Solanaceae	Solanum lycopersicum	Turkey	Sertkaya et al 2007	Sertkaya, G., Martini, M., Musetti, R., Osler R. 2007. Detection  and  molecular  characterization  of phytoplasmas infecting sesame and solanaceous crops in Turkey. Bulletin of Insectology, 60(2): 141-142
1752	16SrII E	plant	Asteraceae	Calendula arvensis	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1753	16SrII E	plant	Solanaceae	Solanum nigrum	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1754	16SrII E	plant	Amaranthaceae	Chenopodium sp.	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1755	not detected	plant	Poaceae	Lolium sp.	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1756	not detected	plant	Convolvulaceae	Convolvulus arvensis	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1757	not detected	plant	Fabaceae	Trifolium repens	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1758	16SrI B	plant	Malvaceae	Malva sp.	Italy	Seemuller et al 1998	Seemuller, E., Marcone, C., Lauer, U., Ragozzino, A., Goschl, M. 1998. Current status of molecular classification of the phytoplasmas. Journal of Plant Pathology, 80(1): 3-26
1759	not detected	plant	Malvaceae	Malva silvestris	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1760	not detected	plant	Asteraceae	Erigeron canadensis	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1761	not detected	plant	Asteraceae	Helminthia echioides	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1762	not detected	plant	Plantaginaceae	Plantago lanceolata	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1763	not detected	plant	Amaranthaceae	Amaranthus sp.	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
1764	not detected	plant	Poaceae	Bromus sterilis	Italy: Sardinia	Tolu et al 2006	Tolu, G., Botti, S., Garau, R., Prota, V.A., Sechi, A., Prota, U., Bertaccini, A. 2006. Identification  of  16SrII-E Phytoplasmas in Calendula arvensis L, Solanum nigrum L and Chenopodium spp. Plant Disease, 90: 325-330
